GTA,KW,GTA,KW,GTA,GTA,20,cad,17,cad,21,cad,22,cad,20,cad,24,cad
KW,Other Canada,Other Canada,KW,Cali,KW,19,cad,35,cad,35,cad,18,cad,,,25,cad
GTA,GTA,GTA,GTA,Cali,Cali,17.5,cad,17.5,cad,22.5,cad,22.5,cad,35,usd,35,usd
GTA,GTA,GTA,KW,KW,KW,18.75,cad,18.75,cad,21,cad,30,cad,26,cad,30,cad
KW,GTA,GTA,KW,KW,KW,15,cad,18,cad,21,cad,25,cad,30,cad,25,cad
KW,KW,KW,KW,KW,KW,14.7,cad,14.67,cad,17.33,cad,20,cad,22.7,cad,25.33,cad
GTA,GTA,KW,KW,KW,KW,17,cad,21,cad,,,,,,,,
KW,GTA,GTA,KW,KW,KW,13.3,cad,20,cad,20,cad,25,cad,27,cad,30,cad
GTA,KW,Cali,Cali,New York,Other USA,18.5,cad,21,cad,,,,,,,,
Other Ontario,Other Ontario,GTA,Other Ontario,GTA,GTA,16.5,cad,14.5,cad,23,cad,24,cad,26,cad,21,cad
GTA,GTA,GTA,Cali,Other International,Seattle,16.5,cad,20,cad,17.5,cad,36.5,usd,,,50,usd
GTA,GTA,GTA,GTA,Other International,KW,18,cad,20,cad,23,cad,25,cad,,,30,cad
GTA,KW,GTA,GTA,GTA,GTA,18.5,cad,20,cad,22.5,cad,30,cad,26.5,cad,35,cad
Other Ontario,Other Ontario,Other International,GTA,GTA,New York,13,cad,19,cad,,,25,cad,26,cad,50,usd
GTA,GTA,GTA,GTA,GTA,GTA,22,cad,15,cad,21,cad,23,cad,25,cad,40,cad
KW,KW,GTA,GTA,Cali,Cali,,,20,cad,20,cad,42,cad,40,usd,42,usd
Unemployed,KW,KW,KW,KW,GTA,,,16.67,cad,23.83,cad,22,cad,26.67,cad,25,cad
Other Ontario,Other Canada,GTA,GTA,KW,GTA,14,cad,15.5,cad,21,cad,21,cad,24,cad,25,cad
GTA,GTA,KW,GTA,GTA,GTA,13,cad,20,cad,22,cad,23.33,cad,21.46,cad,24,cad
GTA,GTA,GTA,Cali,GTA,Cali,18,cad,19,cad,20,cad,32.5,usd,28,cad,45,usd
GTA,GTA,GTA,GTA,GTA,Cali,15,cad,20.5,cad,17.5,cad,28,cad,35,cad,50,usd
GTA,GTA,KW,KW,KW,KW,18,cad,20,cad,21,cad,24,cad,29,cad,31,cad
GTA,Other Ontario,Other Ontario,Seattle,Seattle,Seattle,23,cad,25,cad,30,cad,50,usd,55,usd,60,usd
GTA,GTA,KW,GTA,Cali,Other Ontario,16,cad,19,cad,21,cad,24,cad,50,usd,31,cad
KW,Cali,New York,Cali,Other International,Other International,18,cad,32,usd,35,usd,45,usd,40,usd,40,usd
KW,GTA,Other Ontario,Other Ontario,Other Ontario,Other Ontario,11,cad,17,cad,15,cad,20,cad,25,cad,26,cad
GTA,Other Ontario,GTA,Cali,GTA,Unemployed,24,cad,13.3,cad,13,cad,45,usd,23,cad,,
GTA,GTA,GTA,GTA,GTA,Cali,16.8,cad,18,cad,20,cad,33,cad,33,cad,55,usd
Other Ontario,Other Ontario,Other USA,New York,New York,New York,23,cad,28,cad,37,usd,47,usd,47,usd,50,usd
GTA,KW,KW,Other Ontario,KW,KW,17.43,cad,18.5,cad,21.45,cad,17.43,cad,26.33,cad,28,cad
GTA,GTA,KW,GTA,KW,Other International,18.5,cad,18.5,cad,,,,,,,,
GTA,GTA,GTA,GTA,GTA,GTA,18,cad,21,cad,22.5,cad,26,cad,27.25,cad,32,cad
GTA,GTA,GTA,GTA,Cali,New York,20,cad,18,cad,24,cad,27,cad,40,usd,50,usd
GTA,GTA,Other Ontario,Unemployed,Other International,New York,18,cad,20,cad,19,cad,,,,,50,usd
GTA,GTA,GTA,GTA,Cali,Cali,16.5,cad,18,cad,19,cad,42.5,cad,45,usd,50,usd
Unemployed,GTA,Unemployed,KW,KW,GTA,,,19,cad,,,20.5,cad,25.5,cad,31.25,cad
GTA,GTA,Cali,Cali,Seattle,New York,16,cad,20,cad,35,usd,40,usd,40,usd,50,usd
GTA,KW,Other International,Other International,Cali,Cali,15,cad,19,cad,25,usd,34,cad,50,usd,45,usd
GTA,GTA,GTA,KW,GTA,Cali,19,cad,22,cad,25,cad,21.5,cad,24,cad,48.37,usd
GTA,KW,KW,GTA,Cali,Cali,12,cad,19,cad,30,cad,25,cad,50,usd,50,usd
GTA,GTA,Other USA,Other Ontario,GTA,GTA,15.86,cad,18.28,cad,25,usd,19.23,cad,25,cad,26,cad
GTA,GTA,GTA,KW,KW,KW,16,cad,18,cad,15,cad,22,cad,24,cad,,
Other Ontario,Other Ontario,Other Canada,Other Ontario,Other International,GTA,16,cad,17,cad,19,cad,20,cad,,,25,cad
Other Ontario,Other Ontario,KW,KW,KW,GTA,14,cad,18,cad,21,cad,25,cad,27,cad,35,cad
GTA,GTA,KW,KW,GTA,Unemployed,20,cad,22,cad,,,21,cad,18,cad,,
Other USA,Other USA,Other USA,Cali,Cali,Seattle,16,usd,16,usd,27,usd,33,usd,50,usd,60,usd
GTA,GTA,KW,KW,Cali,Cali,20,cad,22,cad,25,cad,33,cad,55,usd,45,usd
KW,GTA,GTA,GTA,GTA,GTA,,,20,cad,25,cad,30,cad,42,cad,42,cad
KW,GTA,Other Ontario,Cali,GTA,Unemployed,16,cad,18,cad,30,cad,45,usd,33,cad,,
GTA,GTA,KW,GTA,GTA,Unemployed,18.5,cad,18.5,cad,19.5,cad,14,cad,24,cad,,
GTA,KW,GTA,KW,GTA,GTA,,,,,,,,,,,,
KW,KW,GTA,Other USA,Cali,Cali,20,cad,25,cad,25,cad,40,usd,40,usd,45,usd
GTA,GTA,GTA,Seattle,Cali,Cali,18,cad,17.44,cad,20,cad,44,usd,54,usd,60,usd
GTA,KW,Cali,Cali,Cali,New York,15.5,cad,26,cad,44,usd,32,usd,44,usd,44,usd
KW,GTA,GTA,Cali,KW,KW,15,cad,18,cad,21.65,cad,46.5,usd,21.88,cad,23.13,cad
GTA,GTA,Cali,Seattle,GTA,Cali,19,cad,24,cad,44,usd,41,usd,40,cad,45,usd
KW,GTA,Cali,Cali,Cali,Cali,18,cad,23,cad,30,usd,45,usd,47.5,usd,50,usd
Other Ontario,GTA,KW,KW,GTA,Other Ontario,17,cad,19,cad,21,cad,23,cad,22,cad,30,cad
GTA,GTA,KW,GTA,Other Canada,GTA,14.86,cad,18,cad,24.22,cad,31.25,cad,23.73,cad,30,cad
GTA,GTA,KW,KW,KW,KW,18,cad,20,cad,21,cad,20,cad,22,cad,23,cad
KW,KW,GTA,GTA,KW,GTA,,,,,,,,,,,,
GTA,GTA,GTA,Cali,Cali,Cali,17,cad,20,cad,22,cad,35,usd,,,,
GTA,GTA,Other Ontario,Other Ontario,Other Ontario,GTA,18,cad,21,cad,26.5,cad,28,cad,28.12,cad,31,cad
GTA,GTA,GTA,GTA,GTA,Cali,22.5,cad,13,cad,22.5,cad,27.5,cad,35,cad,50,usd
